Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project 1 – Interactive Style Guide,Design tokens,,false,Excellent,"All colors, spacing, and type tokens defined as custom properties; swatch/bar visualizations present and labeled; no magic numbers in CSS",4,Proficient,Most tokens defined; visualizations present; 1–2 magic numbers,3,Developing,Tokens partially defined; no visualization,2,Incomplete,No custom properties,1
Project 1 – Interactive Style Guide,Component completeness,,false,Excellent,All six sections present and functional; cards rendered from data array; buttons show all four states,4,Proficient,Five sections present; cards hardcoded; three button states,3,Developing,Four sections present; significant gaps,2,Incomplete,Three or fewer sections,1
Project 1 – Interactive Style Guide,Interactive patterns,,false,Excellent,"Both chosen patterns functional, keyboard-accessible, and ARIA-correct",4,Proficient,Both functional; one ARIA attribute missing,3,Developing,One pattern functional,2,Incomplete,Neither pattern functional,1
Project 1 – Interactive Style Guide,Code organization,,false,Excellent,CSS in separate files by responsibility; JS in separate files with responsibility comments; no mixed concerns,4,Proficient,Two files each; minor mixing,3,Developing,One CSS file; one JS file,2,Incomplete,Single monolithic file,1
Project 1 – Interactive Style Guide,Accessibility,,false,Excellent,All interactive elements keyboard-operable; contrast passes; ARIA used correctly; focus visible,4,Proficient,Three of four criteria,3,Developing,Two criteria,2,Incomplete,One or none,1
Project 1 – Interactive Style Guide,Proposal and rationale,,false,Excellent,Proposal submitted on time with all six elements (including accessibility plan); rationale addresses all four prompts specifically,4,Proficient,Proposal complete; accessibility plan vague; rationale addresses three prompts,3,Developing,Proposal partially complete; rationale vague,2,Incomplete,Proposal missing or rationale missing,1
Project 2 – Data-Driven Micro-App,Async handling,,false,Excellent,"response.ok checked; try/catch/finally used; loading, success, error, and empty states all produce distinct, appropriate UI",4,Proficient,Three states handled; response.ok checked,3,Developing,Two states handled; no response.ok check,2,Incomplete,No error handling,1
Project 2 – Data-Driven Micro-App,User interaction,,false,Excellent,"Two interaction types functional; interactions work together (e.g., search + filter both active simultaneously)",4,Proficient,Two types present; minor interaction conflict,3,Developing,One type functional,2,Incomplete,No user interaction beyond initial load,1
Project 2 – Data-Driven Micro-App,Persistence,,false,Excellent,Two persistence features implemented; preferences restored correctly on page load; JSON.stringify/parse used correctly,4,Proficient,Two features present; one restoration issue,3,Developing,One feature implemented,2,Incomplete,No localStorage use,1
Project 2 – Data-Driven Micro-App,Module structure,,false,Excellent,All five required files present; each file has one responsibility and a comment; no circular imports,4,Proficient,Four files with correct responsibilities,3,Developing,Three files; some mixing,2,Incomplete,Single file or no modules,1
Project 2 – Data-Driven Micro-App,Accessibility,,false,Excellent,aria-live on results; text-based state messages; labels on all controls; focus managed,4,Proficient,Three of four criteria,3,Developing,Two criteria,2,Incomplete,One or none,1
Project 2 – Data-Driven Micro-App,Proposal and rationale,,false,Excellent,Proposal complete with all six elements; README.md present and useful; rationale walks through code flow specifically,4,Proficient,Proposal complete; README or rationale has minor gaps,3,Developing,Proposal partially complete; documentation thin,2,Incomplete,Missing,1
